"","AskeladdenID","Uncal.C14Age","C14SD","C14LabCode","xcoord","ycoord","meancalyear","cent","bio01","bio04","bio05","bio06","bio12","bio15","topo01","centrank","Suit"
"229",175012,5730,40,"Poz-96630",284895.6883,6697070.755,6525,6500,7.53409910202026,564.131286621094,18.2495994567871,-3.05020046234131,1892.01806640625,32.6599311828613,"3",6423545.5,0.847614884376526
"232",138737,6120,20,"TRa-14852",289973.5272,6696418.933,6990,7000,6.08247852325439,643.471374511719,17.7064342498779,-8.19356536865234,1801.53137207031,32.4150428771973,"3",4232259.5,0.760050296783447
"236",107943,4850,140,"Beta-41716",294684.5473,6716317.568,5581,5600,7.41920852661133,582.230834960938,18.25,-3.75,1931.58752441406,31.559196472168,"5",12186502.5,0.712284922599792
"237",107943,5440,110,"Beta-41715",294684.5473,6716317.568,6219,6200,6.06544780731201,650.281677246094,18.0499992370605,-9.05000019073486,1891.78247070312,33.2047386169434,"5",11710348.5,0.589230120182037
"238",108552,5250,40,"Tua-4072",373837.0465,6717351.549,6017,6000,5.93716669082642,697.078125,20.1499996185303,-6.25,1185.23425292969,34.2314376831055,"7",28891105.5,0.180362060666084
"240",94922,4250,100,"T-6576",272883.8968,6727415.198,4785,4800,8.02546501159668,530.481811523438,18.25,-2.61350274085999,1743.3662109375,30.9817924499512,"2",3300530,0.917044579982758
"242",94922,5360,120,"T-6571",272883.8968,6727415.198,6133,6100,7.38676738739014,573.103881835938,17.8509292602539,-5.05000019073486,1735.30725097656,30.8777770996094,"2",2805702.5,0.875305950641632
"243",94922,4370,90,"T-6569",272883.8968,6727415.198,4985,5000,7.93186569213867,523.81298828125,17.8509292602539,-1.85000002384186,1792.6708984375,30.1873817443848,"2",3226572.5,0.891204297542572
"265",114632,4420,30,"Beta-366705",281235.4453,6681417.499,5002,5000,7.84499502182007,536.110595703125,17.7718124389648,-2.25,1878.61755371094,29.6909580230713,"3",3869934.5,0.879638493061066
"266",174695,6050,35,"Poz-106815",285615,6697560,6899,6900,6.09217405319214,668.670471191406,17.9156837463379,-9.98431587219238,1781.56652832031,31.7574291229248,"3",3718444.5,0.773072123527527
"267",114632,4760,30,"Beta-366163",281235.4453,6681417.499,5524,5500,7.033935546875,581.009582519531,17.7718124389648,-5.84999990463257,1851.05383300781,29.8829898834229,"3",3671909,0.824741244316101
"270",94922,5060,100,"T-6557",272883.8968,6727415.198,5799,5800,8.14311790466309,529.930603027344,18.4140357971191,-2.41257476806641,1765.41540527344,30.3513431549072,"2",3134369,0.91636461019516
"271",114632,4130,30,"Beta-366165",281235.4453,6681417.499,4675,4700,8.9205265045166,499.821166992188,18.6718120574951,-0.0500000007450581,1872.83569335938,30.6845016479492,"3",3839264.5,0.948219358921051
"272",114632,4110,30,"Beta-366166",281235.4453,6681417.499,4632,4600,8.50295066833496,511.773132324219,18.0936260223389,-1.04999995231628,1849.27197265625,29.1681118011475,"3",3730401,0.934314370155334
"280",128703,8650,45,"Tra-153",299493.8991,6713195.431,9607,9600,3.25128078460693,773.682067871094,16.1188068389893,-17.7655963897705,2039.62841796875,33.9244041442871,"5",15285328.5,0.251623898744583
